Name,n-events,ParentDataset,Source,Parameters
masterclass_16-leptons.csv,69,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_16-lnu.csv,75,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_16-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_17-leptons.csv,39,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_17-lnu.csv,83,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_17-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_18-leptons.csv,59,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_18-lnu.csv,82,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_18-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_19-leptons.csv,23,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_19-lnu.csv,92,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_19-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_2-leptons.csv,47,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_2-lnu.csv,85,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_2-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_3-leptons.csv,55,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_3-lnu.csv,84,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_3-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_4-leptons.csv,64,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_4-lnu.csv,80,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_4-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_5-leptons.csv,42,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_5-lnu.csv,88,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_5-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_6-leptons.csv,58,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_6-lnu.csv,81,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_6-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_7-leptons.csv,69,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_7-lnu.csv,79,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_7-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_8-leptons.csv,42,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_8-lnu.csv,89,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_8-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_9-leptons.csv,28,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_9-lnu.csv,91,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_9-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
mc_dy.csv,109656,,https://cms-docdb.cern.ch/cgi-bin/PublicDocDB/RetrieveFile?docid=6232&filename=mc_dy.zip&version=1,NJet  Jet1_Px  Jet1_Py  Jet1_Pz  Jet1_E  Jet1_btag  Jet2_Px  Jet2_Py  Jet2_Pz  Jet2_E  Jet2_btag  Jet3_Px  Jet3_Py  Jet3_Pz  Jet3_E  Jet3_btag  Jet4_Px  Jet4_Py  Jet4_Pz  Jet4_E  Jet4_btag  Jet5_Px  Jet5_Py  Jet5_Pz  Jet5_E  Jet5_btag  NMuon  Muon1_Px  Muon1_Py  Muon1_Pz  Muon1_E  Muon1_Charge  Muon1_Iso  Muon2_Px  Muon2_Py  Muon2_Pz  Muon2_E  Muon2_Charge  Muon2_Iso  Muon3_Px  Muon3_Py  Muon3_Pz  Muon3_E  Muon3_Charge  Muon3_Iso  Muon4_Px  Muon4_Py  Muon4_Pz  Muon4_E  Muon4_Charge  Muon4_Iso  Muon5_Px  Muon5_Py  Muon5_Pz  Muon5_E  Muon5_Charge  Muon5_Iso  NElectron  Electron1_Px  Electron1_Py  Electron1_Pz  Electron1_E  Electron1_Charge  Electron1_Iso  Electron2_Px  Electron2_Py  Electron2_Pz  Electron2_E  Electron2_Charge  Electron2_Iso  Electron3_Px  Electron3_Py  Electron3_Pz  Electron3_E  Electron3_Charge  Electron3_Iso  Electron4_Px  Electron4_Py  Electron4_Pz  Electron4_E  Electron4_Charge  Electron4_Iso  Electron5_Px  Electron5_Py  Electron5_Pz  Electron5_E  Electron5_Charge  Electron5_Iso  NPhoton  Photon1_E  Photon1_Iso  Photon2_E  Photon2_Iso  Photon3_E  Photon3_Iso  Photon4_E  Photon4_Iso  Photon5_E  Photon5_Iso  MET_px  MET_py  NPrimaryVertices  triggerIsoMu24  EventWeight  MChadronicBottom_px  MChadronicBottom_py  MChadronicBottom_pz  MCleptonicBottom_px  MCleptonicBottom_py  MCleptonicBottom_pz  MChadronicWDecayQuark_px  MChadronicWDecayQuark_py  MChadronicWDecayQuark_pz  MChadronicWDecayQuarkBar_px  MChadronicWDecayQuarkBar_py  MChadronicWDecayQuarkBar_pz  MClepton_px  MClepton_py  MClepton_pz  MCleptonPDGid  MCneutrino_px  MCneutrino_py  MCneutrino_pz
mc_qcd.csv,137,,https://cms-docdb.cern.ch/cgi-bin/PublicDocDB/RetrieveFile?docid=6232&filename=mc_qcd.zip&version=1,NJet  Jet1_Px  Jet1_Py  Jet1_Pz  Jet1_E  Jet1_btag  Jet2_Px  Jet2_Py  Jet2_Pz  Jet2_E  Jet2_btag  Jet3_Px  Jet3_Py  Jet3_Pz  Jet3_E  Jet3_btag  Jet4_Px  Jet4_Py  Jet4_Pz  Jet4_E  Jet4_btag  Jet5_Px  Jet5_Py  Jet5_Pz  Jet5_E  Jet5_btag  NMuon  Muon1_Px  Muon1_Py  Muon1_Pz  Muon1_E  Muon1_Charge  Muon1_Iso  Muon2_Px  Muon2_Py  Muon2_Pz  Muon2_E  Muon2_Charge  Muon2_Iso  Muon3_Px  Muon3_Py  Muon3_Pz  Muon3_E  Muon3_Charge  Muon3_Iso  Muon4_Px  Muon4_Py  Muon4_Pz  Muon4_E  Muon4_Charge  Muon4_Iso  Muon5_Px  Muon5_Py  Muon5_Pz  Muon5_E  Muon5_Charge  Muon5_Iso  NElectron  Electron1_Px  Electron1_Py  Electron1_Pz  Electron1_E  Electron1_Charge  Electron1_Iso  Electron2_Px  Electron2_Py  Electron2_Pz  Electron2_E  Electron2_Charge  Electron2_Iso  Electron3_Px  Electron3_Py  Electron3_Pz  Electron3_E  Electron3_Charge  Electron3_Iso  Electron4_Px  Electron4_Py  Electron4_Pz  Electron4_E  Electron4_Charge  Electron4_Iso  Electron5_Px  Electron5_Py  Electron5_Pz  Electron5_E  Electron5_Charge  Electron5_Iso  NPhoton  Photon1_E  Photon1_Iso  Photon2_E  Photon2_Iso  Photon3_E  Photon3_Iso  Photon4_E  Photon4_Iso  Photon5_E  Photon5_Iso  MET_px  MET_py  NPrimaryVertices  triggerIsoMu24  EventWeight  MChadronicBottom_px  MChadronicBottom_py  MChadronicBottom_pz  MCleptonicBottom_px  MCleptonicBottom_py  MCleptonicBottom_pz  MChadronicWDecayQuark_px  MChadronicWDecayQuark_py  MChadronicWDecayQuark_pz  MChadronicWDecayQuarkBar_px  MChadronicWDecayQuarkBar_py  MChadronicWDecayQuarkBar_pz  MClepton_px  MClepton_py  MClepton_pz  MCleptonPDGid  MCneutrino_px  MCneutrino_py  MCneutrino_pz
mc_ttbar.csv,383167,,https://cms-docdb.cern.ch/cgi-bin/PublicDocDB/RetrieveFile?docid=6232&filename=mc_ttbar.zip&version=1,NJet  Jet1_Px  Jet1_Py  Jet1_Pz  Jet1_E  Jet1_btag  Jet2_Px  Jet2_Py  Jet2_Pz  Jet2_E  Jet2_btag  Jet3_Px  Jet3_Py  Jet3_Pz  Jet3_E  Jet3_btag  Jet4_Px  Jet4_Py  Jet4_Pz  Jet4_E  Jet4_btag  Jet5_Px  Jet5_Py  Jet5_Pz  Jet5_E  Jet5_btag  NMuon  Muon1_Px  Muon1_Py  Muon1_Pz  Muon1_E  Muon1_Charge  Muon1_Iso  Muon2_Px  Muon2_Py  Muon2_Pz  Muon2_E  Muon2_Charge  Muon2_Iso  Muon3_Px  Muon3_Py  Muon3_Pz  Muon3_E  Muon3_Charge  Muon3_Iso  Muon4_Px  Muon4_Py  Muon4_Pz  Muon4_E  Muon4_Charge  Muon4_Iso  Muon5_Px  Muon5_Py  Muon5_Pz  Muon5_E  Muon5_Charge  Muon5_Iso  NElectron  Electron1_Px  Electron1_Py  Electron1_Pz  Electron1_E  Electron1_Charge  Electron1_Iso  Electron2_Px  Electron2_Py  Electron2_Pz  Electron2_E  Electron2_Charge  Electron2_Iso  Electron3_Px  Electron3_Py  Electron3_Pz  Electron3_E  Electron3_Charge  Electron3_Iso  Electron4_Px  Electron4_Py  Electron4_Pz  Electron4_E  Electron4_Charge  Electron4_Iso  Electron5_Px  Electron5_Py  Electron5_Pz  Electron5_E  Electron5_Charge  Electron5_Iso  NPhoton  Photon1_E  Photon1_Iso  Photon2_E  Photon2_Iso  Photon3_E  Photon3_Iso  Photon4_E  Photon4_Iso  Photon5_E  Photon5_Iso  MET_px  MET_py  NPrimaryVertices  triggerIsoMu24  EventWeight  MChadronicBottom_px  MChadronicBottom_py  MChadronicBottom_pz  MCleptonicBottom_px  MCleptonicBottom_py  MCleptonicBottom_pz  MChadronicWDecayQuark_px  MChadronicWDecayQuark_py  MChadronicWDecayQuark_pz  MChadronicWDecayQuarkBar_px  MChadronicWDecayQuarkBar_py  MChadronicWDecayQuarkBar_pz  MClepton_px  MClepton_py  MClepton_pz  MCleptonPDGid  MCneutrino_px  MCneutrino_py  MCneutrino_pz
